number,value,datetime_start,datetime_complete,duration,params_BollingerBands_period,params_BollingerBands_std_dev,params_MACD_fast_period,params_MACD_signal_period,params_MACD_slow_period,params_RSI_period,params_SMA_long_period,params_SMA_short_period,params_position_size,params_stop_loss,params_take_profit,user_attrs_cagr,user_attrs_max_drawdown,user_attrs_total_return,state
81,0.0,2025-11-06 17:41:30.282804,2025-11-06 17:41:30.295805,0 days 00:00:00.013001,13,2.3294828617653707,15,9,22,16,51,6,0.1535867377480022,0.025772554147623295,0.0042790694024713435,0.0,0.0,0.0,COMPLETE
82,0.0,2025-11-06 17:41:30.298195,2025-11-06 17:41:30.310556,0 days 00:00:00.012361,16,2.21034024197715,16,9,23,20,37,9,0.17604900522679667,0.01827153514828922,0.002685947869865236,0.0,0.0,0.0,COMPLETE
83,0.0,2025-11-06 17:41:30.313313,2025-11-06 17:41:30.326400,0 days 00:00:00.013087,15,2.37488180901355,16,9,21,17,28,12,0.225333747128109,0.014949570037197367,0.0036186141939973057,0.0,0.0,0.0,COMPLETE
84,0.0,2025-11-06 17:41:30.328850,2025-11-06 17:41:30.342675,0 days 00:00:00.013825,24,1.8297624843613614,15,10,25,15,113,17,0.30464853104341905,0.010450437148739021,0.001113365395154961,0.0,0.0,0.0,COMPLETE
85,0.0,2025-11-06 17:41:30.345244,2025-11-06 17:41:30.358002,0 days 00:00:00.012758,17,2.25413983104258,13,9,20,18,162,48,0.12083285350492802,0.001038526520288999,0.0017109875435938925,0.0,0.0,0.0,COMPLETE
86,0.0,2025-11-06 17:41:30.360565,2025-11-06 17:41:30.373719,0 days 00:00:00.013154,25,1.5870372715353358,11,8,20,19,142,8,0.722251218333601,0.028920167344496647,0.002470638670469698,0.0,0.0,0.0,COMPLETE
87,0.0,2025-11-06 17:41:30.375913,2025-11-06 17:41:30.388777,0 days 00:00:00.012864,18,2.4210461610129514,12,7,24,14,179,14,0.6162625803244639,0.01363683238359066,0.029259269814784317,0.0,0.0,0.0,COMPLETE
88,0.0,2025-11-06 17:41:30.391287,2025-11-06 17:41:30.404086,0 days 00:00:00.012799,30,2.162969803181515,9,8,25,7,126,24,0.7788085039481255,0.023279500941018348,0.00204481949283492,0.0,0.0,0.0,COMPLETE
89,0.0,2025-11-06 17:41:30.406487,2025-11-06 17:41:30.420438,0 days 00:00:00.013951,11,2.6590351573023217,14,9,21,14,136,46,0.2422513452303467,0.017091763498461282,0.0060570999230241855,0.0,0.0,0.0,COMPLETE
90,0.0,2025-11-06 17:41:30.422947,2025-11-06 17:41:30.436613,0 days 00:00:00.013666,23,1.7397203609762524,10,12,27,8,146,5,0.27884832280052974,0.043932900975317844,0.0017103885759008162,0.0,0.0,0.0,COMPLETE
91,0.0,2025-11-06 17:41:30.438812,2025-11-06 17:41:30.452092,0 days 00:00:00.013280,21,1.663311447501595,8,12,23,20,156,49,0.2002227304825781,0.0020742984639249896,0.04740033913774456,0.0,0.0,0.0,COMPLETE
92,0.0,2025-11-06 17:41:30.454452,2025-11-06 17:41:30.467677,0 days 00:00:00.013225,13,1.5381283837459627,8,12,24,21,121,30,0.1432108859007795,0.0013833251354502438,0.033875529841988467,0.0,0.0,0.0,COMPLETE
93,0.0,2025-11-06 17:41:30.469943,2025-11-06 17:41:30.482922,0 days 00:00:00.012979,20,1.6054417577354962,9,12,22,13,49,33,0.37141283523262447,0.001678738397221493,0.020522040894711213,0.0,0.0,0.0,COMPLETE
94,0.0,2025-11-06 17:41:30.485461,2025-11-06 17:41:30.498171,0 days 00:00:00.012710,10,2.293499323207874,9,11,26,21,164,10,0.5601818683053561,0.00132814617205786,0.014023914114236678,0.0,0.0,0.0,COMPLETE
95,0.0,2025-11-06 17:41:30.500941,2025-11-06 17:41:30.513843,0 days 00:00:00.012902,27,1.7070518867776334,8,11,23,18,188,22,0.4277733046983064,0.005938523470315473,0.04098590322443034,0.0,0.0,0.0,COMPLETE
96,0.0,2025-11-06 17:41:30.516216,2025-11-06 17:41:30.528953,0 days 00:00:00.012737,22,1.5040970140931278,12,12,24,16,183,17,0.17069733845940238,0.005052303761686503,0.007689809734191097,0.0,0.0,0.0,COMPLETE
97,0.0,2025-11-06 17:41:30.531748,2025-11-06 17:41:30.544385,0 days 00:00:00.012637,28,1.5623921390040205,12,7,20,17,58,12,0.45815582067138394,0.020928132752522803,0.028019942979706006,0.0,0.0,0.0,COMPLETE
98,0.0,2025-11-06 17:41:30.546835,2025-11-06 17:41:30.559917,0 days 00:00:00.013082,19,2.0921666176259377,10,10,25,20,174,20,0.11725601325805615,0.0012513622766875047,0.0048511141346914135,0.0,0.0,0.0,COMPLETE
99,0.0,2025-11-06 17:41:30.562434,2025-11-06 17:41:30.575584,0 days 00:00:00.013150,16,1.6354252887559295,11,12,23,8,101,14,0.9775845982067155,0.008255531698034621,0.0013628828205722399,0.0,0.0,0.0,COMPLETE
